token,logprob_actual,logprob_max,entropy,most_likely_token
B,-3.5546875,-1.8115234375,4.6640625,1
:,-11.3203125,-1.4072265625,2.974609375,und
ĠJa,-9.59375,-2.3515625,6.859375,Ġ
",",-0.413818359375,-0.413818359375,1.78515625,","
ĠnatÃ¼rlich,-5.13671875,-2.341796875,4.81640625,Ġich
.,-1.3505859375,-1.3505859375,2.779296875,.
ĠJ,-5.7109375,-2.431640625,4.484375,ĠDas
eden,-0.86865234375,-0.86865234375,2.244140625,eden
ĠM,-6.6796875,-0.0455322265625,0.33056640625,falls
orgen,-0.05535888671875,-0.05535888671875,0.350341796875,orgen
Ġbegin,-5.76953125,-1.4423828125,4.33984375,","
ne,-1.3837890625,-0.7744140625,1.2509765625,nt
Ġich,-0.0165252685546875,-0.0165252685546875,0.15673828125,Ġich
Ġden,-3.919921875,-0.771484375,2.58984375,Ġmit
ĠTag,-0.1617431640625,-0.1617431640625,1.2666015625,ĠTag
Ġmit,-0.487548828125,-0.487548828125,1.7666015625,Ġmit
Ġeiner,-1.482421875,-1.482421875,3.46875,Ġeiner
ĠT,-2.599609375,-2.599609375,5.61328125,ĠT
asse,-0.015960693359375,-0.015960693359375,0.12469482421875,asse
ĠTee,-1.3125,-1.0078125,3.001953125,ĠK
.,-1.390625,-1.046875,2.0,Ġund
ĠIch,-2.13671875,-2.13671875,4.55078125,ĠIch
Ġbin,-2.642578125,-1.783203125,3.943359375,Ġtr
Ġjemand,-4.87109375,-1.4267578125,4.32421875,Ġein
",",-0.025177001953125,-0.025177001953125,0.1678466796875,","
Ġder,-0.03680419921875,-0.03680419921875,0.263427734375,Ġder
Ġviel,-3.802734375,-2.451171875,4.67578125,Ġsehr
ĠWert,-3.03515625,-0.94873046875,3.39453125,ĠTee
Ġauf,-0.263671875,-0.263671875,0.69970703125,Ġauf
Ġeine,-2.24609375,-2.02734375,4.03125,Ġseine
Ġruh,-5.5,-0.833984375,2.298828125,Ġges
ige,-0.0072784423828125,-0.0072784423828125,0.054962158203125,ige
ĠM,-2.37109375,-1.1513671875,2.93359375,Ġund
orgen,-0.00452423095703125,-0.00452423095703125,0.043304443359375,orgen
routine,-0.1298828125,-0.1298828125,0.6181640625,routine
Ġleg,-0.139404296875,-0.139404296875,0.72021484375,Ġleg
t,-0.0011491775512695312,-0.0011491775512695312,0.01001739501953125,t
.,-0.6015625,-0.6015625,1.357421875,.
ĠEs,-4.23046875,-1.7080078125,4.203125,ĠIch
Ġist,-0.92724609375,-0.92724609375,2.8359375,Ġist
ĠfÃ¼r,-2.427734375,-1.6220703125,3.728515625,Ġmir
Ġmich,-0.01275634765625,-0.01275634765625,0.1104736328125,Ġmich
Ġsehr,-1.90234375,-1.90234375,3.66015625,Ġsehr
Ġwichtig,-0.192626953125,-0.192626953125,0.98388671875,Ġwichtig
",",-0.0762939453125,-0.0762939453125,0.56494140625,","
Ġdass,-1.3076171875,-1.3076171875,3.41796875,Ġdass
Ġder,-2.927734375,-0.184814453125,0.98046875,Ġich
ĠStart,-4.1640625,-0.1326904296875,0.73046875,ĠTag
Ġin,-0.04681396484375,-0.04681396484375,0.34375,Ġin
Ġden,-0.04693603515625,-0.04693603515625,0.28173828125,Ġden
ĠTag,-0.0543212890625,-0.0543212890625,0.319580078125,ĠTag
Ġents,-1.7470703125,-1.7470703125,3.638671875,Ġents
pan,-0.01220703125,-0.01220703125,0.06939697265625,pan
nt,-0.2149658203125,-0.2149658203125,0.5048828125,nt
Ġund,-1.2724609375,-1.2255859375,2.005859375,Ġist
Ġnicht,-3.607421875,-1.7255859375,3.904296875,Ġruh
Ġhe,-0.6103515625,-0.6103515625,2.056640625,Ġhe
kt,-0.0002161264419555664,-0.0002161264419555664,0.0025882720947265625,kt
isch,-0.0014047622680664062,-0.0014047622680664062,0.013671875,isch
Ġist,-1.015625,-1.015625,2.173828125,Ġist
.,-0.36376953125,-0.36376953125,1.01171875,.
ĠO,-6.12890625,-1.7294921875,4.0546875,ĠIch
ft,-0.050140380859375,-0.050140380859375,0.2435302734375,ft
Ġle,-3.103515625,-1.6025390625,4.04296875,m
se,-0.310791015625,-0.310791015625,0.77978515625,se
Ġich,-0.00969696044921875,-0.00969696044921875,0.08538818359375,Ġich
Ġauch,-2.212890625,-2.056640625,3.66796875,Ġin
Ġein,-2.9375,-1.2021484375,3.060546875,Ġschon
Ġpaar,-0.8935546875,-0.8935546875,1.7138671875,Ġpaar
ĠSeiten,-0.318359375,-0.318359375,1.3984375,ĠSeiten
Ġin,-0.48291015625,-0.48291015625,1.498046875,Ġin
Ġeinem,-0.4697265625,-0.4697265625,1.2451171875,Ġeinem
ĠBuch,-0.41064453125,-0.41064453125,1.4365234375,ĠBuch
",",-1.005859375,-1.005859375,1.646484375,","
Ġdas,-2.533203125,-0.8466796875,3.041015625,Ġbevor
Ġich,-0.60009765625,-0.60009765625,1.7099609375,Ġich
Ġgerade,-0.324951171875,-0.324951171875,1.650390625,Ġgerade
Ġle,-0.07110595703125,-0.07110595703125,0.53662109375,Ġle
se,-0.0006322860717773438,-0.0006322860717773438,0.00614166259765625,se
.,-0.8134765625,-0.8134765625,1.552734375,.
ĠDan,-3.53125,-2.171875,4.03515625,ĠUnd
ach,-0.0034961700439453125,-0.0034961700439453125,0.024444580078125,ach
Ġge,-2.603515625,-2.056640625,3.986328125,Ġm
he,-0.038787841796875,-0.038787841796875,0.1630859375,he
Ġich,-0.007373809814453125,-0.007373809814453125,0.07525634765625,Ġich
Ġme,-2.052734375,-2.052734375,3.6875,Ġme
ist,-0.0013980865478515625,-0.0013980865478515625,0.01374053955078125,ist
ens,-0.2069091796875,-0.2069091796875,1.1962890625,ens
Ġzur,-3.765625,-2.03125,3.685546875,Ġnoch
ĠArbeit,-0.47412109375,-0.47412109375,2.283203125,ĠArbeit
",",-1.796875,-1.25,1.9462890625,.
Ġent,-5.375,-1.90625,3.98046875,Ġum
w,-0.0071563720703125,-0.0071563720703125,0.06622314453125,w
eder,-0.0005526542663574219,-0.0005526542663574219,0.005962371826171875,eder
Ġins,-0.87451171875,-0.87451171875,2.517578125,Ġins
ĠBÃ¼,-0.302490234375,-0.302490234375,1.5966796875,ĠBÃ¼
ro,-0.0007157325744628906,-0.0007157325744628906,0.00856781005859375,ro
Ġoder,-0.06854248046875,-0.06854248046875,0.391845703125,Ġoder
Ġarbe,-4.296875,-1.294921875,3.115234375,Ġins
ite,-0.00010097026824951172,-0.00010097026824951172,0.0012674331665039062,ite
Ġvon,-0.309326171875,-0.309326171875,1.5068359375,Ġvon
Ġzu,-0.2308349609375,-0.2308349609375,0.6630859375,Ġzu
ĠH,-0.25537109375,-0.25537109375,0.56201171875,ĠH
ause,-1.5735626220703125e-05,-1.5735626220703125e-05,0.00019407272338867188,ause
Ġaus,-0.10028076171875,-0.10028076171875,0.46337890625,Ġaus
.,-0.5078125,-0.5078125,1.146484375,.
ĠMein,-4.34765625,-2.212890625,4.3125,ĠIch
ĠJob,-2.921875,-1.8359375,3.849609375,ĠTag
Ġist,-0.99853515625,-0.99853515625,2.486328125,Ġist
Ġsehr,-1.0576171875,-1.0576171875,3.40234375,Ġsehr
Ġab,-1.1123046875,-1.1123046875,2.662109375,Ġab
we,-0.0007266998291015625,-0.0007266998291015625,0.0076904296875,we
ch,-0.0031681060791015625,-0.0031681060791015625,0.0243072509765625,ch
sl,-0.0012140274047851562,-0.0012140274047851562,0.01190948486328125,sl
ungs,-0.0005598068237304688,-0.0005598068237304688,0.005306243896484375,ungs
reich,-0.005161285400390625,-0.005161285400390625,0.03924560546875,reich
",",-1.107421875,-0.99755859375,1.3291015625,Ġund
Ġund,-3.703125,-1.6650390625,3.0703125,Ġich
Ġes,-2.568359375,-0.73974609375,2.5390625,Ġich
Ġgef,-4.1796875,-1.005859375,1.982421875,Ġgibt
Ã¤llt,-0.0008273124694824219,-0.0008273124694824219,0.00853729248046875,Ã¤llt
Ġmir,-0.0042266845703125,-0.0042266845703125,0.041015625,Ġmir
",",-0.4541015625,-0.4541015625,1.34765625,","
Ġimmer,-2.619140625,-0.56494140625,2.318359375,Ġdass
Ġneue,-1.6513671875,-0.385498046875,1.2041015625,Ġwieder
ĠHera,-1.71875,-1.515625,2.662109375,ĠD
us,-1.4662742614746094e-05,-1.4662742614746094e-05,0.00020062923431396484,us
forder,-0.000896453857421875,-0.000896453857421875,0.0094757080078125,forder
ungen,-0.0025482177734375,-0.0025482177734375,0.019805908203125,ungen
Ġzu,-0.22900390625,-0.22900390625,1.1103515625,Ġzu
Ġhaben,-1.6591796875,-1.1904296875,2.220703125,Ġme
.,-0.3203125,-0.3203125,1.087890625,.
ĠAm,-3.23046875,-1.6689453125,4.08203125,ĠIch
ĠNach,-1.3681640625,-1.3681640625,2.642578125,ĠNach
mitt,-0.002414703369140625,-0.002414703369140625,0.0233917236328125,mitt
ag,-0.0028972625732421875,-0.0028972625732421875,0.025726318359375,ag
Ġge,-2.05078125,-2.05078125,4.328125,Ġge
he,-0.0171051025390625,-0.0171051025390625,0.09033203125,he
Ġich,-0.00484466552734375,-0.00484466552734375,0.05059814453125,Ġich
Ġoft,-2.298828125,-1.439453125,3.40625,Ġme
Ġsp,-2.494140625,-1.462890625,3.1640625,Ġmit
az,-0.0007944107055664062,-0.0007944107055664062,0.008056640625,az
ieren,-0.0005669593811035156,-0.0005669593811035156,0.00506591796875,ieren
Ġoder,-0.99267578125,-0.89892578125,1.3466796875,","
Ġtre,-1.451171875,-1.451171875,3.611328125,Ġtre
ffe,-0.0792236328125,-0.0792236328125,0.2724609375,ffe
Ġmich,-0.2410888671875,-0.2410888671875,0.875,Ġmich
Ġmit,-0.04156494140625,-0.04156494140625,0.3193359375,Ġmit
ĠFre,-0.29150390625,-0.29150390625,1.2421875,ĠFre
unden,-0.0010509490966796875,-0.0010509490966796875,0.01012420654296875,unden
.,-0.6337890625,-0.6337890625,1.7919921875,.
ĠEin,-4.1953125,-2.21875,3.98046875,ĠMan
Ġg,-5.68359375,-0.400390625,1.9169921875,mal
utes,-0.0194549560546875,-0.0194549560546875,0.126708984375,utes
ĠGes,-2.240234375,-1.6142578125,3.259765625,ĠBuch
pr,-0.006389617919921875,-0.006389617919921875,0.051116943359375,pr
Ã¤ch,-0.000530242919921875,-0.000530242919921875,0.005764007568359375,Ã¤ch
Ġoder,-2.98046875,-1.26171875,3.056640625,Ġmit
Ġeine,-1.3828125,-0.85986328125,2.33984375,Ġein
Ġkleine,-4.52734375,-1.35546875,3.55078125,Ġgute
ĠWander,-3.18359375,-0.89404296875,3.2265625,ĠUnter
ung,-0.0010471343994140625,-0.0010471343994140625,0.01058197021484375,ung
Ġin,-3.35546875,-1.62890625,3.6953125,Ġents
Ġder,-0.192626953125,-0.192626953125,1.046875,Ġder
ĠNatur,-0.332275390625,-0.332275390625,1.5166015625,ĠNatur
Ġtut,-4.0,-1.8994140625,3.66015625,Ġents
Ġmir,-0.32666015625,-0.32666015625,1.5322265625,Ġmir
Ġimmer,-1.2099609375,-1.2099609375,2.560546875,Ġimmer
Ġsehr,-1.5439453125,-0.309326171875,0.86279296875,Ġgut
Ġgut,-0.005817413330078125,-0.005817413330078125,0.046112060546875,Ġgut
.,-0.310546875,-0.310546875,1.1064453125,.
