token,logprob_actual,logprob_max,entropy,most_likely_token
se,-9.154272079467773,-1.8126015663146973,4.671260833740234,1
it,-0.20309090614318848,-0.20309090614318848,1.0281869173049927,it
Ġletz,-7.052108287811279,-1.3588614463806152,3.3927693367004395,Ġdem
ter,-0.515948474407196,-0.515948474407196,1.0160375833511353,ter
Ġwo,-6.053041934967041,-0.2155347764492035,0.9876422882080078,ĠWoche
che,-0.00017534149810671806,-0.00017534149810671806,0.0023103496059775352,che
Ġhabe,-3.5120887756347656,-2.103506088256836,5.249350070953369,Ġist
Ġich,-0.018256250768899918,-0.018256250768899918,0.18570148944854736,Ġich
Ġdas,-3.012836217880249,-2.46018385887146,4.8149003982543945,Ġeine
ĠgroÃŁe,-5.723508358001709,-0.7731271982192993,3.155247688293457,Ġgef
Ġverg,-2.1039786338806152,-0.9952625036239624,3.3437228202819824,Ġgl
n,-0.002519411500543356,-0.002519411500543356,0.022825058549642563,n
Ã¼gen,-0.004491479601711035,-0.004491479601711035,0.04017142578959465,Ã¼gen
",",-0.8900021314620972,-0.8900021314620972,3.3032896518707275,","
Ġdas,-3.6504440307617188,-1.7603932619094849,4.2387261390686035,Ġmich
Ġbu,-4.477772235870361,-2.986086845397949,6.346410751342773,Ġneue
ch,-0.06196111440658569,-0.06196111440658569,0.43093055486679077,ch
"""",-8.380443572998047,-1.697220802307129,4.461980819702148,Ġvon
das,-2.965015411376953,-2.095335006713867,6.286270618438721,die
Ġwander,-8.601061820983887,-2.661689043045044,5.8105363845825195,Ġge
nde,-0.5822514295578003,-0.5822514295578003,2.1454696655273438,nde
Ġsch,-2.1247124671936035,-0.5495008230209351,2.591269016265869,Ġa
loss,-0.4472614526748657,-0.4472614526748657,1.4661433696746826,loss
"""",-0.20794261991977692,-0.20794261991977692,1.3235185146331787,""""
Ġauf,-5.500590801239014,-0.687877357006073,2.426706314086914,Ġvon
Ġder,-2.607297420501709,-1.84355890750885,4.526638984680176,Ġmeinem
Ġb,-4.468626976013184,-2.229052782058716,5.647515773773193,Ġhomepage
Ã¼h,-0.19518257677555084,-0.19518257677555084,0.8600174188613892,Ã¼h
ne,-0.011988021433353424,-0.011988021433353424,0.08868267387151718,ne
Ġzu,-0.851857602596283,-0.851857602596283,2.696373462677002,Ġzu
Ġerle,-2.7691802978515625,-0.7884979248046875,2.560202121734619,Ġins
ben,-0.0022420764435082674,-0.0022420764435082674,0.02163282409310341,ben
.,-0.43428149819374084,-0.43428149819374084,1.9164444208145142,.
Ġin,-3.8353793621063232,-1.9755475521087646,4.505488395690918,Ġich
Ġeiner,-2.532526731491089,-1.8287370204925537,3.8371658325195312,Ġder
Ġat,-7.508840084075928,-2.696181297302246,5.337728977203369,Ġsehr
ember,-0.022571323439478874,-0.022571323439478874,0.14516335725784302,ember
aub,-0.0028255560901015997,-0.0028255560901015997,0.023139378055930138,aub
enden,-0.19033336639404297,-0.19033336639404297,0.5187056660652161,enden
Ġkul,-6.493661880493164,-1.596462368965149,4.567828178405762,Ġins
isse,-0.10892368853092194,-0.10892368853092194,0.3707102835178375,isse
",",-1.249672770500183,-1.249672770500183,3.73184871673584,","
Ġauf,-3.8252370357513428,-1.410515546798706,3.860517978668213,Ġdie
geb,-4.171469688415527,-1.165004849433899,2.9321889877319336,Ġder
aut,-0.0016498061595484614,-0.0016498061595484614,0.01804695464670658,aut
Ġin,-0.9587911367416382,-0.9587911367416382,2.239108085632324,Ġin
Ġder,-1.5788943767547607,-0.9200637936592102,1.9207184314727783,Ġeiner
Ġw,-3.673682451248169,-2.2746174335479736,5.294824600219727,Ġal
unders,-1.71250581741333,-0.7122827172279358,2.2347686290740967,under
ch,-0.031666092574596405,-0.031666092574596405,0.18010827898979187,ch
Ã¶,-0.004982436075806618,-0.004982436075806618,0.04088592901825905,Ã¶
nen,-0.002959041390568018,-0.002959041390568018,0.029080232605338097,nen
Ġlands,-4.731438159942627,-1.614820957183838,5.064722537994385,Ġh
chaft,-0.02919367328286171,-0.02919367328286171,0.20890846848487854,chaft
Ġdes,-1.147637128829956,-1.147637128829956,2.7457950115203857,Ġdes
Ġw,-3.5242791175842285,-2.9761929512023926,5.929026126861572,Ġsch
Ã¶r,-4.964914321899414,-0.7074497938156128,2.7704172134399414,ester
ther,-0.10572034120559692,-0.10572034120559692,0.3953218162059784,ther
se,-0.2513393461704254,-0.2513393461704254,0.6752724051475525,se
er,-8.463311195373535,-0.006587101146578789,0.06032811850309372,es
Ġrund,-5.660489082336426,-2.052602767944336,5.3924031257629395,Ã¶
weg,-2.3525848388671875,-1.5588730573654175,2.907907485961914,f
s,-0.8424593806266785,-0.5805842280387878,0.7697480320930481,es
Ġhat,-6.74677038192749,-0.4404941499233246,1.9913535118103027,","
Ġdas,-2.202446222305298,-1.540651559829712,3.152989387512207,Ġsich
Ġst,-2.0837175846099854,-2.0837175846099854,4.5390777587890625,Ġst
Ã¼ck,-0.08473074436187744,-0.08473074436187744,0.5114644169807434,Ã¼ck
Ġseinen,-2.462646722793579,-2.2272894382476807,4.252330303192139,Ġmich
Ġweg,-4.733555793762207,-1.9968184232711792,4.17229700088501,Ġfest
Ġgefunden,-1.810481071472168,-1.2546215057373047,2.9154086112976074,Ġin
.,-0.592190146446228,-0.592190146446228,1.9281482696533203,.
Ġdas,-3.3288378715515137,-2.234865665435791,4.709575653076172,Ġdie
Ġwet,-5.808484077453613,-1.4059438705444336,4.305429458618164,Ġwander
ter,-0.0016688480973243713,-0.0016688480973243713,0.01676533930003643,ter
Ġist,-1.6782352924346924,-1.6782352924346924,3.274045944213867,Ġist
Ġme,-4.1741228103637695,-2.56925368309021,4.690974235534668,Ġuns
ist,-0.05962579324841499,-0.05962579324841499,0.3387123942375183,ist
ens,-0.4680570960044861,-0.4680570960044861,2.418314218521118,ens
Ġperf,-2.410947322845459,-2.410947322845459,4.463405609130859,Ġperf
ekt,-0.004449586383998394,-0.004449586383998394,0.03403893858194351,ekt
",",-0.5339074730873108,-0.5339074730873108,1.6237380504608154,","
Ġein,-4.525177001953125,-0.9955151081085205,3.4700756072998047,Ġdie
Ġwenig,-3.353684663772583,-2.166820764541626,4.671864986419678,Ġb
Ġreg,-3.175976037979126,-0.7709057331085205,2.6473875045776367,Ġwind
en,-0.02647739090025425,-0.02647739090025425,0.19984659552574158,en
Ġgibt,-4.924093246459961,-1.2878921031951904,3.820636749267578,","
Ġes,-0.5590080618858337,-0.5590080618858337,1.9943050146102905,Ġes
Ġnur,-1.457101583480835,-1.457101583480835,3.65966534614563,Ġnur
Ġin,-2.39849853515625,-2.1181039810180664,3.617342948913574,","
Ġden,-1.3662528991699219,-0.6471385955810547,2.0092825889587402,Ġder
Ġpa,-3.174008369445801,-1.2811155319213867,4.043214797973633,Ġs
us,-0.0002181292074965313,-0.0002181292074965313,0.0027171848341822624,us
en,-0.006056290585547686,-0.006056290585547686,0.04771480709314346,en
",",-0.7419894337654114,-0.7419894337654114,1.8922383785247803,","

New Section
token,logprob_actual,logprob_max,entropy,most_likely_token
in,-7.316147327423096,-1.8126015663146973,4.671260833740234,1
Ġmeinem,-7.666783332824707,-0.36480697989463806,1.9312713146209717,Ġder
Ġletzten,-3.3248355388641357,-1.4288270473480225,4.814814567565918,ĠFall
Ġtra,-13.471677780151367,-1.5980565547943115,4.02144718170166,ĠNewsletter
um,-0.0751025602221489,-0.0751025602221489,0.4703027009963989,um
Ġhabe,-4.138342380523682,-1.73354971408844,4.280487060546875,Ġwar
Ġich,-0.015719899907708168,-0.015719899907708168,0.15916550159454346,Ġich
Ġmit,-3.405825614929199,-1.9116907119750977,4.419255256652832,Ġmich
Ġeinem,-2.0660738945007324,-2.0626797676086426,3.89528751373291,Ġdir
Ġmann,-1.9923515319824219,-1.9923515319824219,4.866141319274902,Ġmann
Ġnam,-3.408233642578125,-0.8574858903884888,3.1890156269073486,Ġgesch
ens,-0.014933344908058643,-0.014933344908058643,0.08874483406543732,ens
Ġdere,-9.884349822998047,-3.4397521018981934,6.102011680603027,Ġj
k,-0.11142996698617935,-0.11142996698617935,0.4475243389606476,k
Ġges,-2.6074371337890625,-1.802145004272461,4.515968322753906,Ġzusammen
