nohup: ignoring input
Processing subject 58, group a, timepoint 2
Processing subject 58, group a, timepoint 6
Processing subject 58, group a, timepoint 8
Processing subject 58, group a, timepoint 11
Processing subject 58, group a, timepoint 13
Processing subject 58, group a, timepoint 21
Processing subject 58, group a, timepoint 24
Processing subject 58, group a, timepoint 25
Processing subject 58, group a, timepoint 26
Processing subject 58, group a, timepoint 34
Processing subject 58, group a, timepoint 35
Processing subject 58, group a, timepoint 38
Processing subject 58, group a, timepoint 40
Processing subject 58, group a, timepoint 41
Processing subject 58, group a, timepoint 44
Processing subject 58, group a, timepoint 45
Processing subject 54, group d, timepoint 0
Processing subject 54, group d, timepoint 1
Processing subject 54, group d, timepoint 2
Processing subject 54, group d, timepoint 3
Processing subject 54, group d, timepoint 4
Processing subject 54, group d, timepoint 5
Processing subject 54, group d, timepoint 6
Processing subject 54, group d, timepoint 7
Processing subject 54, group d, timepoint 8
Processing subject 54, group d, timepoint 9
Processing subject 54, group d, timepoint 10
Processing subject 54, group d, timepoint 11
Processing subject 54, group d, timepoint 12
Processing subject 54, group d, timepoint 13
Processing subject 54, group d, timepoint 14
Processing subject 54, group d, timepoint 15
Processing subject 54, group d, timepoint 16
Processing subject 54, group d, timepoint 17
Processing subject 54, group d, timepoint 18
Processing subject 54, group d, timepoint 19
Processing subject 54, group d, timepoint 20
Processing subject 54, group d, timepoint 21
Processing subject 54, group d, timepoint 22
Processing subject 54, group d, timepoint 23
Processing subject 54, group d, timepoint 24
Processing subject 54, group d, timepoint 25
Processing subject 54, group d, timepoint 26
Processing subject 54, group d, timepoint 27
Processing subject 54, group d, timepoint 28
Processing subject 54, group d, timepoint 29
Processing subject 54, group d, timepoint 30
Processing subject 54, group d, timepoint 31
Processing subject 54, group d, timepoint 32
Processing subject 54, group d, timepoint 33
Processing subject 54, group d, timepoint 34
Processing subject 54, group d, timepoint 35
Processing subject 54, group d, timepoint 36
Processing subject 54, group d, timepoint 37
Processing subject 54, group d, timepoint 38
